"filename", "language", "Markdown", "Makefile", "C++", "HTML", "Shell Script", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_3ab5adf3688c1279663983f7c9ad4be6.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 5, 3, 110
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_9986310560ae8f4d8f90170189a0e171.html", "HTML", 0, 0, 0, 113, 0, 0, 0, 0, 5, 3, 121
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_a87963420b8aceb759ef72e469e7d83c.html", "HTML", 0, 0, 0, 101, 0, 0, 0, 0, 5, 3, 109
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_b23e4db1eeb8e501646fb8f543d381d9.html", "HTML", 0, 0, 0, 99, 0, 0, 0, 0, 5, 3, 107
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_b2f33c71d4aa5e7af42a1ca61ff5af1b.html", "HTML", 0, 0, 0, 113, 0, 0, 0, 0, 5, 3, 121
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_b89c1a95b830604292bcbf080ed49305.html", "HTML", 0, 0, 0, 109, 0, 0, 0, 0, 5, 3, 117
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_d13a9b8ecfeda9348fa0ca2d8093a287.html", "HTML", 0, 0, 0, 104, 0, 0, 0, 0, 5, 3, 112
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_d44c64559bbebec7f509842c48db8b23.html", "HTML", 0, 0, 0, 100, 0, 0, 0, 0, 5, 3, 108
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_f229e21fa9219833d724d276f84487fd.html", "HTML", 0, 0, 0, 112, 0, 0, 0, 0, 5, 3, 120
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dir_f9dadf815a373a470b4c0cfd9ac78fed.html", "HTML", 0, 0, 0, 100, 0, 0, 0, 0, 5, 3, 108
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/doc.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/docd.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/doxygen.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1681, 49, 316, 2046
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/doxygen.svg", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/dynsections.js", "JavaScript", 0, 0, 0, 0, 0, 131, 0, 0, 48, 14, 193
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/errorNames_8h.html", "HTML", 0, 0, 0, 140, 0, 0, 0, 0, 5, 5, 150
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/errorNames_8h_source.html", "HTML", 0, 0, 0, 105, 0, 0, 0, 0, 5, 3, 113
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/errors_8h.html", "HTML", 0, 0, 0, 165, 0, 0, 0, 0, 5, 5, 175
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/errors_8h_source.html", "HTML", 0, 0, 0, 103, 0, 0, 0, 0, 5, 3, 111
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/files.html", "HTML", 0, 0, 0, 153, 0, 0, 0, 0, 5, 3, 161
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/folderclosed.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/folderclosedd.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/folderopen.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/folderopend.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/functions.html", "HTML", 0, 0, 0, 126, 0, 0, 0, 0, 5, 24, 155
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/functions_vars.html", "HTML", 0, 0, 0, 126, 0, 0, 0, 0, 5, 24, 155
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getCommands_8cpp.html", "HTML", 0, 0, 0, 322, 0, 0, 0, 0, 5, 13, 340
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getCommands_8h.html", "HTML", 0, 0, 0, 195, 0, 0, 0, 0, 5, 9, 209
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getCommands_8h_source.html", "HTML", 0, 0, 0, 108, 0, 0, 0, 0, 5, 3, 116
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getData__of__BinaryFile_8cpp.html", "HTML", 0, 0, 0, 144, 0, 0, 0, 0, 5, 5, 154
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getData__of__BinaryFile_8h.html", "HTML", 0, 0, 0, 152, 0, 0, 0, 0, 5, 5, 162
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getData__of__BinaryFile_8h_source.html", "HTML", 0, 0, 0, 96, 0, 0, 0, 0, 5, 3, 104
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getFileStrings_8cpp.html", "HTML", 0, 0, 0, 144, 0, 0, 0, 0, 5, 5, 154
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getFileStrings_8h.html", "HTML", 0, 0, 0, 150, 0, 0, 0, 0, 5, 5, 160
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getFileStrings_8h_source.html", "HTML", 0, 0, 0, 96, 0, 0, 0, 0, 5, 3, 104
